date,total_revenue,total_qty,num_items,year,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal
2024-01-18,38758.6,105,64,2024,0,0,0,0,0,0,0,0,0,0
2024-01-19,44633.840000000004,99,58,2024,0,0,0,0,0,0,0,0,0,0
2024-01-20,78544.76,172,102,2024,1,0,0,0,0,0,0,0,0,0
2024-01-21,75929.01000000001,164,94,2024,1,0,0,0,0,0,0,0,0,0
2024-01-22,48521.54,135,94,2024,1,0,0,0,0,0,0,0,0,0
2024-01-23,35446.57,99,69,2024,1,0,0,0,0,0,0,0,0,0
2024-01-24,60855.03,103,63,2024,1,0,0,0,0,0,0,0,0,0
2024-01-25,66450.77,85,47,2024,1,0,0,0,0,0,0,0,0,0
2024-01-26,27946.199999999997,87,69,2024,1,0,0,0,0,0,0,0,0,0
2024-01-27,106898.45999999999,144,100,2024,1,0,0,0,0,0,0,0,0,0
2024-01-28,116381.39,197,116,2024,1,0,0,0,0,0,0,0,0,0
2024-01-29,23388.71,63,49,2024,1,0,0,0,0,0,0,0,0,0
2024-01-30,31040.25,68,49,2024,1,0,0,0,0,0,0,0,0,0
2024-01-31,53766.07,107,73,2024,1,0,0,0,0,0,0,0,0,0
2024-02-01,20700.24,74,57,2024,1,0,0,0,0,0,0,0,0,0
2024-02-02,49983.68,111,60,2024,1,0,0,0,0,0,0,0,0,0
2024-02-03,64968.96,200,121,2024,1,0,0,0,0,0,0,0,0,0
2024-02-04,70677.29,138,97,2024,1,0,0,0,0,0,0,0,0,0
2024-02-05,56999.11,159,89,2024,1,0,0,0,0,0,0,0,0,0
2024-02-06,34343.31,67,50,2024,1,0,0,0,0,0,0,0,0,0
2024-02-07,27193.44,103,54,2024,1,0,0,0,0,0,0,0,0,0
2024-02-08,31353.71,89,65,2024,1,0,0,0,0,0,0,0,0,0
2024-02-09,103444.12,213,105,2024,1,1,0,0,0,0,0,0,0,0
2024-02-10,46819.4,126,91,2024,1,1,0,0,0,0,0,0,0,0
2024-02-11,46044.9,126,78,2024,1,1,0,0,0,0,0,0,0,0
2024-02-12,47747.77,123,74,2024,1,1,0,0,0,0,0,0,0,0
2024-02-13,170926.54,349,243,2024,1,1,0,0,0,0,0,0,0,0
2024-02-14,19963.23,119,84,2024,1,0,0,0,0,0,0,0,0,0
2024-02-15,24530.16,96,64,2024,1,0,0,0,0,0,0,0,0,0
2024-02-16,37445.82,100,76,2024,1,0,0,0,0,0,0,0,0,0
2024-02-17,52391.69,168,119,2024,1,0,0,0,0,0,0,0,0,0
2024-02-18,42732.09,161,96,2024,1,0,0,0,0,0,0,0,0,0
2024-02-19,127487.03,152,109,2024,1,0,0,0,0,0,0,0,0,0
2024-02-20,44710.4,134,96,2024,1,0,0,0,0,0,0,0,0,0
2024-02-21,85222.98,140,85,2024,1,0,0,0,0,0,0,0,0,0
