date,y,total_qty,num_items,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal,brand__anubis,brand__havit,brand__reddragon,brand__sony,cat__consoles,cat__headset,cat__mouse,cat__tvs,cat__teclado,year,month,day,weekday,lag1,lag2,ma3
2024-06-03,623964.96,1284,843,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,3,0,423726.01999999996,304780.04,450823.67333333334
2024-06-10,407944.48,913,562,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,10,0,623964.96,423726.01999999996,485211.82
2024-06-17,396789.32,745,485,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,17,0,407944.48,623964.96,476232.92
2024-06-24,256887.63999999998,705,462,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,24,0,396789.32,407944.48,353873.8133333333
2024-07-01,454109.15,914,546,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,1,0,256887.63999999998,396789.32,369262.0366666666
2024-07-08,267131.12,803,473,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,8,0,454109.15,256887.63999999998,326042.63666666666
2024-07-15,335235.02,754,441,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,15,0,267131.12,454109.15,352158.43
2024-07-22,403942.84,652,387,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,22,0,335235.02,267131.12,335436.32666666666
2024-07-29,254237.15,510,345,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,29,0,403942.84,335235.02,331138.33666666667
2024-08-05,313028.73,634,385,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,8,5,0,254237.15,403942.84,323736.24
2024-08-12,166032.66999999998,473,294,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,8,12,0,313028.73,254237.15,244432.84999999995
2024-08-19,173770.14,474,307,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,8,19,0,166032.66999999998,313028.73,217610.51333333334
2024-08-26,153520.93,378,250,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,8,26,0,173770.14,166032.66999999998,164441.24666666667
2024-09-02,177739.84,494,285,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9,2,0,153520.93,173770.14,168343.6366666667
2024-09-09,192048.26,487,302,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9,9,0,177739.84,153520.93,174436.34333333335
2024-09-16,193028.39,290,196,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9,16,0,192048.26,177739.84,187605.49666666667
2024-09-23,52551.67,288,169,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9,23,0,193028.39,192048.26,145876.1066666667
2024-09-30,112588.26,261,190,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,9,30,0,52551.67,193028.39,119389.44
2024-10-07,58602.16,246,154,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10,7,0,112588.26,52551.67,74580.69666666667
2024-10-14,121372.7,426,281,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10,14,0,58602.16,112588.26,97521.04
2024-10-21,97268.12000000001,278,182,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10,21,0,121372.7,58602.16,92414.32666666666
2024-10-28,138100.39,324,185,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,10,28,0,97268.12000000001,121372.7,118913.73666666668
2024-11-04,153118.7,415,269,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,11,4,0,138100.39,97268.12000000001,129495.73666666668
